id,family,n,seed,method,certified,energy,known_energy,energy_error,wall_s,chi,chi_kept,notes
v1.maxcut-er.n008.s001,maxcut-er,8,1,exact,True,-9.0,-9.0,0.0,0.0004896000027656555,,,certified exact enumeration
v1.pmj-glass.n008.s007,pmj-glass,8,7,exact,True,-14.0,-14.0,0.0,0.0003129999968223274,,,certified exact enumeration
v1.bipartite-maxcut.n008.s002,bipartite-maxcut,8,2,exact,True,-9.0,-9.0,0.0,0.00030990003142505884,,,certified exact enumeration
v1.ferro-chain.n008.s000,ferro-chain,8,0,exact,True,-7.0,-7.0,0.0,0.0002885999856516719,,,certified exact enumeration
v1.maxcut-er.n008.s002,maxcut-er,8,2,exact,True,-8.0,-8.0,0.0,0.00030720001086592674,,,certified exact enumeration
v1.maxcut-er.n008.s003,maxcut-er,8,3,exact,True,-9.0,-9.0,0.0,0.00029689999064430594,,,certified exact enumeration
v1.pmj-glass.n008.s008,pmj-glass,8,8,exact,True,-14.0,-14.0,0.0,0.00029879994690418243,,,certified exact enumeration
v1.pmj-glass.n008.s009,pmj-glass,8,9,exact,True,-10.0,-10.0,0.0,0.0003168000257574022,,,certified exact enumeration
v1.bipartite-maxcut.n008.s003,bipartite-maxcut,8,3,exact,True,-9.0,-9.0,0.0,0.0002953999792225659,,,certified exact enumeration
v1.bipartite-maxcut.n008.s004,bipartite-maxcut,8,4,exact,True,-6.0,-6.0,0.0,0.0002948999754153192,,,certified exact enumeration
v1.maxcut-er.n010.s001,maxcut-er,10,1,exact,True,-9.0,-9.0,0.0,0.00043379998533055186,,,certified exact enumeration
v1.pmj-glass.n010.s007,pmj-glass,10,7,exact,True,-19.0,-19.0,0.0,0.0004214000073261559,,,certified exact enumeration
v1.bipartite-maxcut.n010.s002,bipartite-maxcut,10,2,exact,True,-13.0,-13.0,0.0,0.00044079998042434454,,,certified exact enumeration
v1.ferro-chain.n010.s000,ferro-chain,10,0,exact,True,-9.0,-9.0,0.0,0.0004086000262759626,,,certified exact enumeration
v1.maxcut-er.n010.s002,maxcut-er,10,2,exact,True,-12.0,-12.0,0.0,0.00041229999624192715,,,certified exact enumeration
v1.maxcut-er.n010.s003,maxcut-er,10,3,exact,True,-12.0,-12.0,0.0,0.0004037999897263944,,,certified exact enumeration
v1.pmj-glass.n010.s008,pmj-glass,10,8,exact,True,-15.0,-15.0,0.0,0.00041969999438151717,,,certified exact enumeration
v1.pmj-glass.n010.s009,pmj-glass,10,9,exact,True,-19.0,-19.0,0.0,0.00042070000199601054,,,certified exact enumeration
v1.bipartite-maxcut.n010.s003,bipartite-maxcut,10,3,exact,True,-14.0,-14.0,0.0,0.00040580000495538116,,,certified exact enumeration
v1.bipartite-maxcut.n010.s004,bipartite-maxcut,10,4,exact,True,-9.0,-9.0,0.0,0.0004265999887138605,,,certified exact enumeration
v1.maxcut-er.n012.s001,maxcut-er,12,1,exact,True,-15.0,-15.0,0.0,0.001559399999678135,,,certified exact enumeration
v1.pmj-glass.n012.s007,pmj-glass,12,7,exact,True,-32.0,-32.0,0.0,0.0011568000190891325,,,certified exact enumeration
v1.bipartite-maxcut.n012.s002,bipartite-maxcut,12,2,exact,True,-18.0,-18.0,0.0,0.0011418000212870538,,,certified exact enumeration
v1.ferro-chain.n012.s000,ferro-chain,12,0,exact,True,-11.0,-11.0,0.0,0.0011350000277161598,,,certified exact enumeration
v1.maxcut-er.n012.s002,maxcut-er,12,2,exact,True,-18.0,-18.0,0.0,0.0009805000154301524,,,certified exact enumeration
v1.maxcut-er.n012.s003,maxcut-er,12,3,exact,True,-16.0,-16.0,0.0,0.0011457999935373664,,,certified exact enumeration
v1.pmj-glass.n012.s008,pmj-glass,12,8,exact,True,-28.0,-28.0,0.0,0.001146599999628961,,,certified exact enumeration
v1.pmj-glass.n012.s009,pmj-glass,12,9,exact,True,-26.0,-26.0,0.0,0.0011371999862603843,,,certified exact enumeration
v1.bipartite-maxcut.n012.s003,bipartite-maxcut,12,3,exact,True,-19.0,-19.0,0.0,0.0011854000040329993,,,certified exact enumeration
v1.bipartite-maxcut.n012.s004,bipartite-maxcut,12,4,exact,True,-13.0,-13.0,0.0,0.001188000023830682,,,certified exact enumeration
v1.maxcut-er.n014.s001,maxcut-er,14,1,exact,True,-18.0,-18.0,0.0,0.005694699997548014,,,certified exact enumeration
